Artist	Song	Id	Key
Abba	The Name Of The Game	TRAANZE128F148BF55	F#_minor
Kidz Bop Kids	Sugar Sugar	TRADCVS128F932D857	F#_minor
Buddy Holly	Peggy Sue	TRAIFLV12903CCFECD	E_minor
Ole Erling	Last Christmas	TRAIFVA128F426B65F	F#_minor
Bobby	So Many Scars [extended Dynamikk Version]	TRAIQCB12903CEB776	F_major
Dido	White Flag	TRALLSG128F425A685	D_minor
The Unborn Chikken Voices	Again And Again	TRAPFCP128F92D772E	A_minor
Pet Shop Boys	West End Girls	TRAPMAJ128F93274C5	G_major
The Osmonds	He Ain't Heavy...He's My Brother	TRAQKAB128F149F099	D_major
P!nk	U + Ur Hand	TRATDJI128F42ADF38	B_minor
Jesus Christ Superfly	She's The One	TRAYYFR12903CB9DB3	D_minor
The Gap Band	Outstanding	TRBKFPM12903CE39C7	F#_major
No Address	Lasting Words (Album Version)	TRBMITH128F4282301	E_minor
Aerosmith	Dream On	TRBOEFO128F92FC62E	Ab_major
Missill	Scream	TRBSDJW128F92D6E19	E_minor
Division Day	My Prisoner	TRCBAPL128F933D208	G_major
Leila Pinheiro	Besame	TRCCHJU128F931424B	B_minor
Andres Calamaro	La Parte De Adelante	TRCPTQP128F423A80E	G_major
Alice Cooper	Elected (Live  Version)	TRCROHL128F1493C0E	E_minor
N/A	N/A	Series([], Name: Id, dtype: object)	C_minor
Queens Of The Stone Age	Mosquito Song	TRCTVZG128E078ED8D	F_minor
Dinu Lipatti	Piano Sonata No.3 in B minor Op.58 (2005 Digital Remaster): Largo	TRDPYFO128F425581C	B_major
DMX	We Don't Give A Fuck	TRDQLMZ128E0786081	E_major
Simon Harris	Sample Track 19	TRDWCTE128F932F76E	F_major
Kelly Marie	The Rose	TRDXSQX128F930BCB9	G_major
Soft Cell	Tainted Love	TRECMPD128F932D8DE	G_minor
Mousse T. vs. Hot'N'Juicy	Horny	TREFEBZ128F425441E	B_minor
Kuhn_ Dieter Thomas	Es Hängt Ein Pferdehalfter An Der Wand	TREFTJE128F4234C17	A_major
White Lion	Til Death Do Us Part (LP Version)	TREGGML12903CC0740	Bb_major
John Fogerty	Hey Tonight	TREGHNL128F9311476	E_major
Backstreet Boys	I Want It That Way	TRELOER128F429E959	E_major
Nick Ingman;Gavyn Wright	In Viola's Room	TRELZIF128F4266171	E_minor
Billy J Kramer	You Can't Live On Memories (Stereo) (2009 Digital Remaster)	TRENFDW128F9339A6A	E_minor
Visage	In The Year 2525	TRENJBF128F14770C9	C_major
Ugly Kid Joe	Cats In The Cradle	TRESNUQ128F42ACF91	Db_major
Bonnie McKee	Somebody (Original Album Version)	TREVDFX128E07859E0	G_major
Radiohead	Just	TREXJJE128E0781B1D	Bb_major
Bong-ra	Blood and Fire (DJ Scud RMX)	TREZWGJ128F4295646	C_major
End Of Fashion	Rough Diamonds (Extended Mix)	TRFLBTX128F4257817	D_major
Clint Black	Someday	TRFNNSW12903CDCD85	G_major
Klubbingman feat. Beatrix Delgado	Another Day Another Night	TRFQPWB128F9316B26	B_major
Ugly Kid Joe	Cats In The Cradle	TRFSFEB12903CA144F	Db_major
Jose Cid	Um Grande_ Grande Amor	TRFUBNF128F4294644	A_major
Alien Ant Farm	Smooth Criminal	TRFUVKB12903CB0FE3	A_minor
Ukulele	Soldier Of Fortune	TRFZNJO128F42759D9	Bb_major
Erlend Øye	Sheltered Life (Erlend Øye's Karl Marx Allee Remix)	TRGBFTF128F1475953	Bb_minor
The Warren Brothers	Surviving Emily	TRGJJKW128F9315105	E_major
The Kingsmen	Mustang Sally	TRGJLUI128F4256531	C_minor
Céline Dion	Destin	TRGPBEX128F426EA3E	G_major
The Planets	Tanta Voglia Di Lei	TRGTOTX128F4271E2D	F#_minor
Billy Joe Royal	The Truth Is I Lied (LP Version)	TRGVSDT12903CC496B	D_major
Soul Groove	What Becomes Of The Brokenhearted - (Tribute to Jimmy Ruffin)	TRGXZBH12903CBCDD6	F_major
Speedy J	Klave	TRGYBOF128F9310DCA	E_major
Pablo Casals	Air (from Suite No. 3 in D major BWV1068)	TRHDLNP128F9342DCC	F#_minor
Costa Cordalis	Pan	TRHDTSM128F92E9645	F_minor
Johnny Nash	I Can See Clearly Now	TRHEOII12903CB23D6	D_major
Kenny Rogers And Dottie West	All I Ever Need Is You	TRHHKMC128F931E0AB	A_major
Barry Adamson	A Settlin' Kinda Scam	TRHJVLH12903D04F44	C_major
YUNDI	Nocturnes: C minor (1837_ pub 1938)	TRHKOPI12903CEC34A	G_minor
Alain Bashung	Bijou Bijou	TRHOIJR128F93370DA	B_minor
Weird Al Yankovic	"Phony Calls (Parody of ""Waterfalls"" by TLC)"	TRHRCXK128F4263C4C	Bb_minor
Janet Jackson	Again (Piano/Vocal)	TRIDAFI128F4255BD9	E_minor
Kenny Loggins	Footloose	TRIFIEQ128F92FCD06	A_major
Whitney Houston & Deborah Cox	Same Script_ Different Cast	TRIGHLA128F42B82E1	F#_minor
The Waterboys	A Song For The Life (2008 Digital Remaster)	TRIHBRI128F4275915	E_major
Los Humildes	Tanto Amor	TRIHFTE128F930944E	E_major
Sky Motion	All The Time	TRIIEXX128F9323D97	E_major
Jovanotti	Per Te	TRINBRW128F1490EF8	E_minor
Third World	Dancing On The Floor (Hooked On Love)	TRIQPCQ128F1493349	E_minor
Blank & Jones	The Night Starts Here - with Stars	TRIRUYJ12903CA7AD6	F_minor
Culture Club	Do You Really Want To Hurt Me (BBC In Concert)	TRISOVE12903CB8135	G_major
Fire Ball	I Love You	TRITMXS128F4269AA3	Bb_major
Victor Ark	Coming Back	TRIWNGP128F92D11C1	F_minor
Carpenters	For All We Know	TRIZWLK128E0793C91	G_major
Robbie Williams	I Wouldn't Normally Do This Kind Of Thing	TRJDWDW128E0798A80	D_major
Georges Bizet	Carmen Suite: Intermezzo	TRJECSC128F4225AD5	Bb_major
Clay Walker	Woman Thing (Album Version)	TRJLALT128F427D533	D_major
Faithless	Thank You	TRJLPOH128F425A072	E_minor
Kidz Bop Kids	Here Without You	TRJQVPN128F932BE9C	Bb_minor
The Campaign for Real-Time	Instant Karma!	TRKFZSF12903CBB709	E_minor
Elton John	Song For Guy	TRKIZWL128EF342C5A	C_major
Atomic Kitten	Love Doesn't Have To Hurt	TRKJAIH128E0789755	D_major
John Holm	Blå Väg	TRKNHQW12903CBE144	D_minor
Mambo Chillum	Intro	TRLFCUS128F933B4A9	D_minor
Gregor Samsa	These Points Balance	TRLFTTG128F93083FD	G_major
Evangelicals	Another Day (And Yoor Still Knocked Out)	TRLJHSK12903CB25EA	D_major
Panpipes	Nothing Compares 2U	TRLLWIN128F92CB71D	F_major
Relax	Nie im Leb'n	TRMAAFD128F42B4CE3	G_major
The Presidents of the United States of America	Lump	TRMJSWT12903CA8AE1	F#_minor
David Johansen	Justine	TRMNBWE128F9323713	D_minor
Michael Bublé	Haven't Met You Yet (Album Version)	TRMRHAD12903CC0130	F_minor
Solomon Burke	I Got The Blues	TRMTRWB128F42A0436	G_major
Hawaii Samurai	Buffy the Vampire Slayer	TRNFLFG128F9365A31	E_minor
Mary Wells	The Boy From Ipanema (Album Version)	TRNGIOQ128E0791411	G_major
Joe Satriani	Cryin'	TRNTLWX128F426AD0C	E_major
The B-Sides	Ask Me Why (As made famous by The Beatles)	TRNVNJD12903CE58BB	E_major
By The Tree	I Will Follow You (LP Version)	TROBNQM128F1484296	G_minor
Dougal / Gammer	Boing!	TROELXZ12903CC6A6B	G_major
