Artist	Song	Id	Aard_key	Aard_r	KS_key	KS_r	Trevor_key	Key
Abba	The Name Of The Game	TRAANZE128F148BF55	A major	0.9020059010224748	A major	0.9627136720132123	F# minor	A major
Kidz Bop Kids	Sugar Sugar	TRADCVS128F932D857	D major	0.8764505234672945	D major	0.9905044846116654	F# minor	D major
Buddy Holly	Peggy Sue	TRAIFLV12903CCFECD	D major	0.8117698343329706	A major	0.937730249889782	E minor	E minor
Ole Erling	Last Christmas	TRAIFVA128F426B65F	D major	0.8792760537692337	D major	0.8438600452107013	F# minor	D major
Bobby	So Many Scars [extended Dynamikk Version]	TRAIQCB12903CEB776	C major	0.8304920759497034	C major	0.9647774516762111	F major	C major
Dido	White Flag	TRALLSG128F425A685	F major	0.9067763453002973	F major	0.8776163802429806	D minor	F major
The Unborn Chikken Voices	Again And Again	TRAPFCP128F92D772E	G major	0.8911679238720229	G major	0.8466715978417477	A minor	G major
Pet Shop Boys	West End Girls	TRAPMAJ128F93274C5	E minor	0.8909953288277263	E minor	0.8702870146214955	G major	E minor
The Osmonds	He Ain't Heavy...He's My Brother	TRAQKAB128F149F099	G major	0.9062424792518359	G major	0.9270229596070724	D major	G major
P!nk	U + Ur Hand	TRATDJI128F42ADF38	C major	0.8420885029354278	G major	0.9304372862275181	B minor	B minor
Jesus Christ Superfly	She's The One	TRAYYFR12903CB9DB3	D minor	0.784995794448187	E minor	0.7132076589691053	D minor	D minor
The Gap Band	Outstanding	TRBKFPM12903CE39C7	F# major	0.9267651862757954	F# major	0.9234230151389196	F# major	F# major
No Address	Lasting Words (Album Version)	TRBMITH128F4282301	D minor	0.8428362128835151	A minor	0.7906984155419419	E minor	E minor
Aerosmith	Dream On	TRBOEFO128F92FC62E	F minor	0.8487699231369116	F minor	0.9047662959451717	A- major	F minor
Missill	Scream	TRBSDJW128F92D6E19	B minor	0.40450937777121404	E major	0.4348089525756372	E minor	E minor
Division Day	My Prisoner	TRCBAPL128F933D208	G major	0.8527496940854956	G major	0.9385252858496269	G major	G major
Leila Pinheiro	Besame	TRCCHJU128F931424B	G major	0.8848526896985766	G major	0.8689131405170554	B minor	G major
Andres Calamaro	La Parte De Adelante	TRCPTQP128F423A80E	E minor	0.9527725986262309	E minor	0.8918653123033816	G major	E minor
Alice Cooper	Elected (Live  Version)	TRCROHL128F1493C0E	D minor	0.871229971408311	A minor	0.8396288295069001	E minor	E minor
